Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
36,tt8577458,2020-05-05,2020-05-05,,High Fidelity,https://www.imdb.com/title/tt8577458/,tvSeries,7.7,30,2020,"Comedy, Drama, Romance",15452,2020-02-14,
37,tt2235759,2020-05-05,2020-05-05,,The Great,https://www.imdb.com/title/tt2235759/,tvSeries,8.2,1594,2020,"Biography, Comedy, Drama, History",52485,2020-05-14,
38,tt10166602,2020-05-05,2020-05-05,,"Love, Victor",https://www.imdb.com/title/tt10166602/,tvSeries,8.0,30,2020,"Comedy, Drama, Romance",21240,2020-06-17,
39,tt2818496,2020-05-05,2020-05-05,,The Awesomes,https://www.imdb.com/title/tt2818496/,tvSeries,7.3,23,2013,"Animation, Action, Comedy",1585,2013-08-01,
40,tt8910922,2020-05-05,2020-05-05,,Solar Opposites,https://www.imdb.com/title/tt8910922/,tvSeries,8.0,22,2020,"Animation, Adventure, Comedy, Sci-Fi",29582,2020-05-08,
41,tt8777690,2020-05-05,2020-05-05,,Crossing Swords,https://www.imdb.com/title/tt8777690/,tvSeries,6.7,22,2020,"Animation, Comedy, Fantasy",1777,2020-06-12,
42,tt10394790,2020-05-05,2020-05-05,,The Bravest Knight,https://www.imdb.com/title/tt10394790/,tvSeries,6.9,12,2019,"Animation, Family",139,2019-06-21,
43,tt2269658,2020-05-05,2020-05-05,,Doozers,https://www.imdb.com/title/tt2269658/,tvSeries,7.4,11,2012,"Animation, Family",72,2012-12-31,
44,tt2057511,2020-05-05,2020-05-05,,A Day in the Life,https://www.imdb.com/title/tt2057511/,tvSeries,6.0,25,2011,Documentary,55,2011-08-17,
45,tt2188577,2020-05-05,2020-05-05,,Up to Speed,https://www.imdb.com/title/tt2188577/,tvSeries,6.4,60,2012,"Biography, Comedy",163,2012-08-09,
46,tt2884130,2020-05-05,2020-05-05,,Behind the Mask,https://www.imdb.com/title/tt2884130/,tvSeries,7.5,30,2013,"Documentary, Sport",169,2013-10-29,
47,tt5122514,2020-05-05,2020-05-05,,RocketJump: The Show,https://www.imdb.com/title/tt5122514/,tvSeries,7.1,30,2015,"Action, Comedy",176,2015-12-02,
48,tt5361394,2020-05-05,2020-05-05,,Triumph's Election Watch 2016,https://www.imdb.com/title/tt5361394/,tvMiniSeries,8.3,85,2016,Comedy,202,2016-02-08,
49,tt11203896,2020-05-05,2020-05-05,,Vice Investigates,https://www.imdb.com/title/tt11203896/,tvSeries,7.0,,2019,Documentary,103,2019-11-01,
50,tt11558924,2020-05-05,2020-05-05,,Hillary,https://www.imdb.com/title/tt11558924/,tvMiniSeries,7.0,253,2020,"Documentary, Biography",2679,2020-01-25,
51,tt1826909,2020-05-05,2020-05-05,,The Morning After,https://www.imdb.com/title/tt1826909/,tvSeries,7.2,5,2011,"Short, Talk-Show",99,2010-11-04,
52,tt2404125,2020-05-05,2020-05-05,,Spoilers with Kevin Smith,https://www.imdb.com/title/tt2404125/,tvSeries,6.8,30,2012,Talk-Show,307,2012-06-04,
53,tt7509270,2020-05-05,2020-05-05,,"I Love You, America",https://www.imdb.com/title/tt7509270/,tvSeries,6.3,29,2017,"Comedy, Talk-Show",1356,2017-10-12,
54,tt12244950,2020-05-05,2020-05-05,,Taste the Nation with Padma Lakshmi,https://www.imdb.com/title/tt12244950/,tvSeries,8.1,30,2020,"Adventure, Reality-TV",704,2020-06-18,
55,tt0459159,2020-05-05,2020-05-05,Only series 4 is a co-production of Hulu,The Thick of It,https://www.imdb.com/title/tt0459159/,tvSeries,8.7,29,2005,Comedy,25566,2005-05-19,
56,tt3107224,2020-05-05,2020-05-05,,Mother Up!,https://www.imdb.com/title/tt3107224/,tvSeries,5.4,,2013,"Animation, Comedy",605,2013-10-31,
57,tt2603596,2020-05-05,2020-05-05,,The Wrong Mans,https://www.imdb.com/title/tt2603596/,tvSeries,7.7,29,2013,"Comedy, Crime, Thriller",7824,2013-09-24,
58,tt5761478,2020-05-05,2020-05-05,,Harlots,https://www.imdb.com/title/tt5761478/,tvSeries,7.7,45,2017,Drama,10234,2017-03-27,
59,tt6402362,2020-05-05,2020-05-05,,Hard Sun,https://www.imdb.com/title/tt6402362/,tvMiniSeries,6.6,60,2018,"Crime, Drama, Sci-Fi",5220,2018-01-06,
60,tt7412482,2020-05-05,2020-05-05,,The First,https://www.imdb.com/title/tt7412482/,tvSeries,6.6,45,2018,"Drama, Sci-Fi",8115,2018-09-13,
61,tt8050586,2020-05-05,2020-05-05,,The Bisexual,https://www.imdb.com/title/tt8050586/,tvSeries,6.5,40,2018,"Comedy, Drama, Romance",1380,2018-10-10,
62,tt8602408,2020-05-05,2020-05-05,,Holly Hobbie,https://www.imdb.com/title/tt8602408/,tvSeries,6.6,30,2018,"Drama, Family, Music",336,2018-11-16,
