imdb_id,titleType,Title,originalTitle,startYear,endYear,runtimeMinutes,genres,imdb_rating,imdb_no_votes,Streamer,directors,writers,Age,imdb_id2,tmdb_id
tt19896784,tvMiniSeries,Light & Magic,Light & Magic,2022,2022,357,Documentary,8.7,3084.0,Disney,nm0001410,\N,TV-14,19896784,201285.0
tt10857160,tvSeries,She-Hulk: Attorney at Law,She-Hulk: Attorney at Law,2022,2022,289,"Action,Adventure,Comedy",5.3,186414.0,Disney,"nm0192478,nm3060183","nm1815387,nm3597491,nm6537189,nm2005299,nm0498278,nm14221097,nm4585507,nm0456158,nm9763080,nm0402962,nm2745845",TV-14,10857160,92783.0
tt13623148,tvSeries,I Am Groot,I Am Groot,2022,0,4,"Action,Adventure,Animation",6.7,38366.0,Disney,nm3338081,"nm0456158,nm0498278,nm3338081,nm1293367,nm7698576,nm0317493,nm2757098",TV-G,13623148,232125.0
tt21875362,tvMiniSeries,Fearless: The Inside Story of the AFLW,Fearless: The Inside Story of the AFLW,2022,2022,52,"Documentary,Sport",7.2,84.0,Disney,nm1719206,\N,12,21875362,202210.0
tt9253284,tvSeries,Andor,Andor,2022,0,40,"Action,Adventure,Drama",8.4,156471.0,Disney,"nm3510385,nm1595284,nm2091911,nm0139081,nm1264352,nm2178458","nm0006904,nm0000184,nm0319659,nm2802722,nm2661978,nm0771496",TV-14,9253284,83867.0
tt15566204,tvSeries,Tierra Incógnita,Tierra Incógnita,2022,0,30,"Horror,Mystery",5.2,435.0,Disney,nm0686121,"nm2560751,nm7159543,nm12916890,nm7862571,nm8833822,nm13413409",TV-14,15566204,128384.0
tt21441266,tvSeries,Epic Adventures with Bertie Gregory,Epic Adventures with Bertie Gregory,2022,0,42,"Adventure,Documentary",8.5,293.0,Disney,"nm1651928,nm2918908,nm13233304,nm1493826,nm10309364,nm14030923",nm14079026,TV-PG,21441266,157215.0
tt18069908,tvSeries,Growing Up,Growing Up,2022,2022,24,Documentary,6.5,142.0,Disney,"nm6303173,nm4007518,nm2978148,nm6744041,nm0488953,nm2550343,nm0612731,nm3622645,nm1509733,nm2780578,nm1340152",nm0488953,TV-Y7,18069908,3031.0
tt21441286,tvSeries,Super/Natural,Super/Natural,2022,2022,44,Documentary,8.6,483.0,Disney,"nm2523843,nm2393148,nm3625110,nm3181243,nm5473458,nm4732743,nm2137742,nm5448192,nm11709811",\N,TV-PG,21441286,157202.0
tt11981568,tvMiniSeries,Cars on the Road,Cars on the Road,2022,2022,0,"Adventure,Animation,Comedy",6.9,3687.0,Disney,"nm0270263,nm0687954,nm0700760","nm0005124,nm0700760",TV-G,11981568,114502.0
tt15049524,tvSeries,"The Chorus: Success, Here I Go","The Chorus: Success, Here I Go",2022,0,45,"Drama,Musical",6.5,62.0,Disney,nm0210890,"nm0265825,nm1149111",TV-14,15049524,128188.0
tt0463398,tvSeries,Dancing with the Stars,Dancing with the Stars,2005,0,60,"Family,Music,Reality-TV",4.8,10419.0,Disney,"nm1637779,nm2595974,nm0694382,nm1541136","nm0095498,nm4484071,nm3043900,nm2731469,nm4960821,nm0238003,nm3346566,nm5091453,nm4111101,nm2887041,nm4116575,nm1859039,nm2491065,nm3455240,nm2442456,nm4111563,nm4408805,nm2382927,nm5077416",TV-PG,463398,1508.0
tt22187310,tvSeries,"Sumo Do, Sumo Don't","Sumo Do, Sumo Don't",2022,0,48,"Comedy,Drama,Sport",7.5,169.0,Disney,"nm1712297,nm12475623,nm3828129,nm4407114,nm0839397","nm1712297,nm12475623,nm3828129,nm4407114,nm4194960",12,22187310,210345.0
tt14598786,tvMiniSeries,Shipwreck Hunters Australia,Shipwreck Hunters Australia,2022,0,0,"Adventure,Documentary",8.6,98.0,Disney,nm10586913,\N,TV-PG,14598786,124958.0
tt20723374,tvSeries,Tales of the Jedi,Tales of the Jedi,2022,0,15,"Action,Adventure,Animation",8.2,32669.0,Disney,"nm0614880,nm5446544,nm1396048,nm3408938","nm1396048,nm0000184,nm0614880,nm14179174",TV-PG,20723374,203085.0
tt18970038,tvMiniSeries,Soundtrack #1,Soundtrack #1,2022,0,44,"Drama,Music,Romance",7.7,2921.0,Disney,nm3641180,nm13834733,12,18970038,137872.0
tt10278918,tvSeries,Willow,Willow,2022,2023,0,"Action,Adventure,Drama",5.7,33097.0,Disney,"nm1339400,nm3008980,nm0941189,nm3741255","nm0440459,nm0000184,nm4034122,nm6269516,nm0231190,nm6063385,nm1355890,nm9638154,nm4498870",TV-14,10278918,111837.0
tt17047510,tvSeries,The Santa Clauses,The Santa Clauses,2022,2023,33,"Comedy,Drama,Family",6.4,10750.0,Disney,"nm3083111,nm1306282,nm0934864","nm1080144,nm1569499,nm0120994,nm3648783,nm0748874,nm10912567,nm4971527,nm1645193,nm2310134,nm5138879,nm1969639,nm1864676,nm0921521,nm5964538,nm0376247,nm2133058",TV-PG,17047510,155631.0
tt14488928,tvSeries,The Montaners,The Montaners,2022,2022,42,"Documentary,Reality-TV",4.6,160.0,Disney,"nm10022063,nm5874027",nm11786706,12,14488928,201897.0
tt14446288,tvMiniSeries,Save Our Squad,Save Our Squad,2022,0,35,"Documentary,Reality-TV,Sport",6.7,452.0,Disney,nm1491263,\N,16,14446288,204667.0
tt11714334,tvSeries,Limitless,Limitless,2022,2022,50,"Adventure,Documentary",8.0,3904.0,Disney,"nm2071500,nm1562359,nm0606942,nm2017350","nm0004716,nm0359504",TV-14,11714334,62687.0
tt13622956,tvSeries,Zootopia+,Zootopia+,2022,2022,0,"Adventure,Animation,Comedy",6.8,5005.0,Disney,"nm4383481,nm2888684","nm4383481,nm8824924,nm0654475,nm0811279,nm3728874,nm2888684",TV-PG,13622956,114463.0
