imdb_id,titleType,Title,originalTitle,startYear,endYear,runtimeMinutes,imdb_rating,imdb_no_votes,Streamer,Age,imdb_id2,tmdb_id,creators,writer_1,writer_2,writer_3,director_1,director_2,director_3,genre_1,genre_2,director_1_name,director_2_name,director_3_name
tt21340378,tvSeries,Fortune Seller: A TV Scam,Fortune Seller: A TV Scam,2022,2022,45,6.7,944.0,Netflix,13,21340378,205657,Alessandro Garramone,3692215,2155072,,4397693,,,Biography,Crime,Nicola Prosatore,,
tt10112282,tvSeries,Human Playground,Human Playground,2022,0,40,6.9,849.0,Netflix,18,10112282,211269,,3707302,3519336,1783961,3707302,5151254,6817392,Documentary,,Tomas Kaan,Morgan Knibbe,
tt16442864,tvSeries,"El Rey, Vicente Fernández","El Rey, Vicente Fernández",2022,0,52,7.1,451.0,Netflix,18,16442864,207796,Dago García,3844924,0306042,7997005,2032358,1663004,3226771,Biography,Drama,Conrado Martinez,Fernando Urdapilleta,
tt16481820,tvSeries,Diary of a Gigolo,Diary of a Gigolo,2022,2022,50,6.4,1528.0,Netflix,18,16481820,208925,Sebastián Ortega,0293972,1319754,1417778,1094911,1471643,2148154,Crime,Drama,Valeria Ambrosio,Mariano Ardanaz,
tt11252254,tvMiniSeries,From Scratch,From Scratch,2022,2022,422,7.9,16265.0,Netflix,18,11252254,207717,Attica Locke,6106553,7990258,4467156,0330140,1971220,,Drama,Romance,Dennie Gordon,Nzingha Stewart,
tt9894516,tvMiniSeries,Oni: Thunder God's Tale,Oni: Thunder God's Tale,2022,2022,167,8.1,1174.0,Netflix,7,9894516,201213,Daisuke Tsutsumi,3372967,2689816,2584046,1156606,7311679,4014909,Action,Adventure,Daisuke 'Dice' Tsutsumi,Hikari Toriumi,
tt15046742,tvMiniSeries,Notre-Dame,Notre-Dame,2022,2022,297,5.2,734.0,Netflix,13,15046742,129057,"('Hervé Hadmar', 'Olivier Bocquet')",1278604,9750165,0352924,0352924,,,Drama,,Hervé Hadmar,,
tt11564258,tvMiniSeries,The Playlist,The Playlist,2022,2022,300,7.4,13485.0,Netflix,18,11564258,210195,,7144687,5448205,12587245,1633071,3463246,,Biography,Drama,Per-Olav Sørensen,Hallgrim Haug,
tt21946032,tvMiniSeries,Conversations with a Killer: The Jeffrey Dahmer Tapes,Conversations with a Killer: The Jeffrey Dahmer Tapes,2022,2022,180,7.3,8909.0,Netflix,18,21946032,209167,Joe Berlinger,\N,,,0075666,,,Biography,Crime,Joe Berlinger,,
tt22746676,tvMiniSeries,Vatican Girl: The Disappearance of Emanuela Orlandi,Vatican Girl: The Disappearance of Emanuela Orlandi,2022,2022,233,7.1,5163.0,Netflix,14,22746676,212186,,5032884,2129029,,2129029,,,Crime,Documentary,Mark Lewis,,
tt22756480,tvMiniSeries,Indian Predator: Murder in a Courtroom,Indian Predator: Murder in a Courtroom,2022,2022,168,7.1,766.0,Netflix,18,22756480,213345,Umesh Vinayak Kulkarni,\N,,,2975950,,,Crime,Documentary,Umesh Vinayak Kulkarni,,
tt13444912,tvSeries,The Midnight Club,The Midnight Club,2022,2022,60,6.5,33605.0,Netflix,18,13444912,126254,"('Mike Flanagan', 'Leah Fong')",1093039,3743024,0683204,0277342,1093039,2130745,Drama,Horror,Michael Fimognari,Mike Flanagan,
tt14852808,tvSeries,The Watcher,The Watcher,2022,0,332,6.5,76638.0,Netflix,18,14852808,210232,"('Ryan Murphy', 'Ian Brennan')",0107302,0614682,12285948,0054077,0528337,0614682,Drama,Horror,Paris Barclay,Jennifer Lynch,
tt8415836,tvSeries,Guillermo del Toro's Cabinet of Curiosities,Guillermo del Toro's Cabinet of Curiosities,2022,2022,60,7.0,54538.0,Netflix,18,8415836,83659,Guillermo del Toro,0868219,0522454,5988943,3235877,0181903,0362566,Drama,Horror,Ana Lily Amirpour,Panos Cosmatos,
tt13649396,tvSeries,The Bastard Son & The Devil Himself,The Bastard Son & The Devil Himself,2022,2022,60,7.5,13622.0,Netflix,18,13649396,210235,Joe Barton,3620967,3234857,2588373,1142073,3008980,2222539,Action,Adventure,Colm McCarthy,Debs Paterson,
tt14825954,tvSeries,Exception,Exception,2022,0,30,6.5,1118.0,Netflix,18,14825954,127325,,10026134,,,1059369,14078099,,Animation,Drama,Yûzô Satô,Makoto Honda,
tt21991254,tvSeries,Romantic Killer,Romantic Killer,2022,2022,24,7.6,2533.0,Netflix,14,21991254,208730,,14112915,4823717,,6378219,11101195,11101193,Animation,Comedy,Kazuya Ichikawa,Yuki Iida,
tt21107718,tvSeries,Oddballs,Oddballs,2022,2023,20,6.4,1237.0,Netflix,7,21107718,204684,"('Ethan Banville', 'Robert James Rallison')",1471730,0377784,9289919,8423501,2837934,5760228,Adventure,Animation,Annisa Adjani,Carl Faruolo,
tt13351446,tvSeries,Spirit Rangers,Spirit Rangers,2022,0,22,7.0,202.0,Netflix,0,13351446,119847,Karissa Valencia,4187787,6068025,5422690,0597963,3991081,,Action,Adventure,Dominique Monfery,Dorothée Robert,
tt13983670,tvSeries,Daniel Spellbound,Daniel Spellbound,2022,0,22,6.9,551.0,Netflix,7,13983670,156934,Matthew Fernandes,2861260,0339558,1865859,0213054,2861260,,Action,Adventure,Trevor Deane-Freeman,Matthew Fernandes,
tt14987274,tvSeries,Everything Calls for Salvation,Everything Calls for Salvation,2022,0,45,7.4,1668.0,Netflix,18,14987274,134057,Francesco Bruni,0116263,2394916,12732454,0116263,,,Comedy,Drama,Francesco Bruni,,
tt14735382,tvSeries,Glitch,Glitch,2022,0,60,6.1,1134.0,Netflix,18,14735382,63201,"('Tony Ayres', 'Louise Fox')",11449231,,,11678066,2529884,,Comedy,Mystery,Roh Deok,Deok Noh,
tt22399058,tvMiniSeries,Shards of Her,Shards of Her,2022,0,45,6.9,691.0,Netflix,18,22399058,197235,,3173627,,,2838755,,,Crime,Drama,Li Cho,,
