Title,titleType,startYear,endYear,Streamer,Coproduction?,genres,Coproduction Company
Avenue 5,tvSeries,2020,2022,HBO(Max),1,Comedy,Co-production with Sky UK
Betty,tvSeries,2020,2021,HBO(Max),0,Comedy,
Run,tvSeries,2020,2020,HBO(Max),0,Comedy,
The Seekers,tvMiniSeries,1979,1979,HBO(Max),,,
All the Rivers Run,tvMiniSeries,1984,1984,HBO(Max),1,,Co-production with Seven Network
The Far Pavilions,tvMiniSeries,1984,1984,HBO(Max),0,,
Tanner '88,tvMiniSeries,1988,1988,HBO(Max),0,,
Sessions,tvMiniSeries,1991,1991,HBO(Max),0,,
Laurel Avenue,tvMiniSeries,1993,1993,HBO(Max),0,,
From the Earth to the Moon,tvMiniSeries,1998,1998,HBO(Max),0,,
The Corner,tvMiniSeries,2000,2000,HBO(Max),0,,
Band of Brothers,tvMiniSeries,2001,2001,HBO(Max),0,,
Angels in America,tvMiniSeries,2003,2003,HBO(Max),0,,
Elizabeth I,tvMiniSeries,2005,2005,HBO(Max),1,,Co-production with Channel 4
Empire Falls,tvMiniSeries,2005,2005,HBO(Max),0,,
Tsunami: The Aftermath,tvMiniSeries,2006,2006,HBO(Max),0,,Co-production with BBC
Generation Kill,tvMiniSeries,2008,2008,HBO(Max),0,,
House of Saddam,tvMiniSeries,2008,2008,HBO(Max),1,,Co-production with BBC
John Adams,tvMiniSeries,2008,2008,HBO(Max),0,,
The Passion,tvMiniSeries,2008,2008,HBO(Max),0,,
The Pacific,tvMiniSeries,2010,2010,HBO(Max),0,,
Angry Boys,tvMiniSeries,2011,2011,HBO(Max),1,,Co-production with Australian Broadcasting Corporation
Mildred Pierce,tvMiniSeries,2011,2011,HBO(Max),0,,
Ja'mie: Private School Girl,tvMiniSeries,2013,2013,HBO(Max),1,,Co-production with Australian Broadcasting Corporation
Parade's End,tvMiniSeries,2013,2013,HBO(Max),1,,Co-production with BBC and VRT
Jonah from Tonga,tvMiniSeries,2014,2014,HBO(Max),1,,Co-production with Australian Broadcasting Corporation
Olive Kitteridge,tvMiniSeries,2014,2014,HBO(Max),0,,
The Casual Vacancy,tvMiniSeries,2015,2015,HBO(Max),1,,Co-production with BBC One
Show Me a Hero,tvMiniSeries,2015,2015,HBO(Max),0,,
The Night Of,tvMiniSeries,2016,2016,HBO(Max),0,,
Gunpowder,tvMiniSeries,2017,2017,HBO(Max),1,,Co-production with BBC One
The Young Pope,tvMiniSeries,2017,2017,HBO(Max),1,,Co-production with Sky Atlantic and Canal+
Mosaic,tvMiniSeries,2018,2018,HBO(Max),0,,
Sharp Objects,tvMiniSeries,2018,2018,HBO(Max),0,,
Catherine the Great,tvMiniSeries,2019,2019,HBO(Max),1,,Co-production with Sky Atlantic
Chernobyl,tvMiniSeries,2019,2019,HBO(Max),1,,Co-production with Sky Atlantic
Mrs. Fletcher,tvMiniSeries,2019,2019,HBO(Max),0,,
Our Boys,tvMiniSeries,2019,2019,HBO(Max),0,,
Watchmen,tvMiniSeries,2019,2019,HBO(Max),0,,
Years and Years,tvMiniSeries,2019,2019,HBO(Max),1,,Co-production with BBC
I Know This Much Is True,tvMiniSeries,2020,2020,HBO(Max),0,,
I May Destroy You,tvMiniSeries,2020,2020,HBO(Max),1,,Co-production with BBC One
The New Pope,tvMiniSeries,2020,2020,HBO(Max),1,,Co-production with Sky Atlantic and Canal+
The Outsider,tvMiniSeries,2020,2020,HBO(Max),0,,
The Plot Against America,tvMiniSeries,2020,2020,HBO(Max),0,,
The Third Day,tvMiniSeries,2020,2020,HBO(Max),1,,Co-production with Sky Atlantic
The Undoing,tvMiniSeries,2020,2020,HBO(Max),0,,
We Are Who We Are,tvMiniSeries,2020,2020,HBO(Max),1,,Co-production with Sky Atlantic
Beartown,tvMiniSeries,2021,2021,HBO(Max),1,,Co-production with HBO Europe
The Investigation,tvMiniSeries,2021,2021,HBO(Max),1,,Co-production with HBO Europe
Laetitia,tvMiniSeries,2021,2021,HBO(Max),0,,
Landscapers,tvMiniSeries,2021,2021,HBO(Max),1,,Co-production with Sky Atlantic
Mare of Easttown,tvMiniSeries,2021,2021,HBO(Max),0,,
Scenes from a Marriage,tvMiniSeries,2021,2021,HBO(Max),0,,
The Baby,tvMiniSeries,2022,2022,HBO(Max),1,,Co-production with Sky Atlantic
Irma Vep,tvMiniSeries,2022,2022,HBO(Max),0,,
We Own This City,tvMiniSeries,2022,2022,HBO(Max),0,,
