Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
36,tt1292576,2020-08-18,2020-08-18,,Sigmund and the Sea Monsters,https://www.imdb.com/title/tt1292576/,tvSeries,7.0,25,2016,"Comedy, Family",183,2016-06-17,
37,tt5788792,2020-08-18,2020-08-18,,The Marvelous Mrs. Maisel,https://www.imdb.com/title/tt5788792/,tvSeries,8.7,2408,2017,"Comedy, Drama",139288,2017-03-17,
38,tt6682754,2020-08-18,2020-08-18,,Jean-Claude Van Johnson,https://www.imdb.com/title/tt6682754/,tvMiniSeries,7.5,30,2016,"Action, Comedy, Drama",9938,2016-08-19,
39,tt1082583,2020-08-18,2020-08-18,,The Dangerous Book for Boys,https://www.imdb.com/title/tt1082583/,tvSeries,5.9,30,2018,"Adventure, Comedy, Drama, Family",504,2018-03-30,
40,tt8543390,2020-08-18,2020-08-18,,Modern Love,https://www.imdb.com/title/tt8543390/,tvSeries,7.9,513,2019,"Comedy, Romance",35660,2019-10-17,
41,tt11569530,2020-08-18,2020-08-18,,Just Add Magic: Mystery City,https://www.imdb.com/title/tt11569530/,tvSeries,7.2,27,2020,"Comedy, Drama, Family, Fantasy",670,2020-01-17,
42,tt7826376,2020-08-18,2020-08-18,,Upload,https://www.imdb.com/title/tt7826376/,tvSeries,7.9,30,2020,"Comedy, Mystery, Sci-Fi",78065,2020-01-05,
43,tt8101850,2020-08-18,2020-08-18,,Undone,https://www.imdb.com/title/tt8101850/,tvSeries,8.2,23,2019,"Animation, Drama, Fantasy, Mystery",22886,2019-09-12,
44,tt5523460,2020-08-18,2020-08-18,,Baahubali: The Lost Legends,https://www.imdb.com/title/tt5523460/,tvSeries,7.2,23,2017,"Animation, Action, Adventure",556,2017-04-23,
45,tt8271176,2020-08-18,2020-08-18,,Kung Fu Panda: The Paws of Destiny,https://www.imdb.com/title/tt8271176/,tvSeries,7.4,24,2018,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy",1367,2018-11-15,
46,tt2183641,2020-08-18,2020-08-18,,Ripper Street,https://www.imdb.com/title/tt2183641/,tvSeries,8.1,59,2012,"Crime, Drama, Mystery",22205,2012-12-30,
47,tt5239494,2020-08-18,2020-08-18,,The Collection,https://www.imdb.com/title/tt5239494/,tvSeries,7.0,60,2016,"Drama, History, Romance",2382,2016-09-01,
48,tt5200330,2020-08-18,2020-08-18,,Dino Dana,https://www.imdb.com/title/tt5200330/,tvSeries,7.4,22,2017,"Short, Adventure, Comedy, Family, Sci-Fi",559,2017-05-25,
49,tt5932548,2020-08-18,2020-08-18,,Britannia,https://www.imdb.com/title/tt5932548/,tvSeries,6.9,60,2017,"Action, Drama, Fantasy, History",17507,2017-10-16,
50,tt7076630,2020-08-18,2020-08-18,,Vanity Fair,https://www.imdb.com/title/tt7076630/,tvMiniSeries,7.3,60,2018,Drama,5556,2018-09-02,
51,tt7459986,2020-08-18,2020-08-18,,The Widow,https://www.imdb.com/title/tt7459986/,tvSeries,6.9,60,2019,"Action, Drama, Mystery, Thriller",10954,2019-02-28,
52,tt8005176,2020-08-18,2020-08-18,,The Feed,https://www.imdb.com/title/tt8005176/,tvSeries,6.3,,2019,"Drama, Mystery, Sci-Fi",2288,2019-09-16,
53,tt2397461,2020-08-18,2020-08-18,,Clifford the Big Red Dog,https://www.imdb.com/title/tt2397461/,movie,5.9,96,2021,"Adventure, Comedy, Family, Fantasy",16519,2021-11-10,Walt Becker
54,tt8332438,2020-08-18,2020-08-18,,ZeroZeroZero,https://www.imdb.com/title/tt8332438/,tvSeries,8.1,60,2019,"Crime, Drama, Thriller",28598,2019-09-05,
55,tt10485750,2020-08-18,2020-08-18,,The Pale Horse,https://www.imdb.com/title/tt10485750/,tvMiniSeries,6.1,117,2020,"Crime, Drama, Mystery, Thriller",5912,2020-02-09,
