imdb_id,titleType,Title,originalTitle,startYear,endYear,runtimeMinutes,imdb_rating,imdb_no_votes,Streamer,Age,imdb_id2,tmdb_id,writer_1,writer_2,writer_3,director_1,director_2,director_3,genre_1,genre_2,director_1_name,director_2_name,director_3_name,writer_1_name,writer_2_name,writer_3_name,ep_run_times,writer_1_pop,writer_2_pop,writer_3_pop,director_1_pop,director_2_pop,director_3_pop,tmdb_popularity,no_of_ep,no_of_seasons,team_popularity,origin_language,creator/actor?,first_country,second_country,actor_1_name,actor_2_name,cast_pop,actor_1_pop,actor_2_pop
tt7741830,tvSeries,The Epic Tales of Captain Underpants,The Epic Tales of Captain Underpants,2018,2019,24,6.7,1111,Netflix,7,7741830,80805,52062,4185463,5653350,2813596,669475,3185614,Action,Adventure,Seung Woo Cha,Kevin Peaty,Seung Woo Cha,Mark Banker,Sindy Boveda-Spackman,Jeff D'Elia,24,1.4,0.6,0.6,1.1,0.7,1.1,36.0,39,4,0.9,en,0,US,US,Nat Faxon, Jay Gragnani,11.2,14.5,7.8
tt8697554,tvSeries,Cupcake & Dino: General Services,Cupcake & Dino: General Services,2018,2019,23,7.6,992,Netflix,7,8697554,81145,2674238,6963310,4097540,6963310,6963310,6963310,Action,Animation,Pedro Eboli,Pedro Eboli,Pedro Eboli,Mark Satterthwaite,Pedro Eboli,Kyle Dooley,23,1.2,0.6,0.8,0.6,0.6,0.6,97.3,52,2,0.7,en,0,BR, CA,Justin Collette, Julie Sype,3.3,2.0,4.7
tt7745956,tvSeries,She-Ra and the Princesses of Power,She-Ra and the Princesses of Power,2018,2020,30,8.1,18615,Netflix,7,7745956,79732,6343559,4166590,1868375,5318577,5046978,178394,Action,Adventure,David Dwooman Woo,Diana Huh,David Dwooman Woo,Nate Stevenson,Josie Campbell,Katherine Nolfi,24,1.1,1.1,0.6,1.4,0.6,1.4,82.9,52,5,1.0,en,0,US,US,Aimee Carrero, Karen Fukuhara,19.9,20.2,19.6
tt9203064,tvSeries,Kulipari: Dream Walker,Kulipari: Dream Walker,2018,2018,23,7.3,114,Netflix,7,9203064,83723,287482,2783316,8100885,666548,666548,666548,Action,Adventure,Chuck Patton,Chuck Patton,Chuck Patton,Bob Forward,Trevor Pryce,Joshua Starnes,24,1.9,0.6,1.9,3.7,3.7,3.7,80.8,10,1,2.6,en,0,US,US,Charlie Adler, Mark Hamill,28.5,14.5,42.4
tt7736544,tvSeries,3Below: Tales of Arcadia,3Below: Tales of Arcadia,2018,2019,24,7.7,7004,Netflix,7,7736544,84154,6409142,10508309,868219,3028578,2112570,4136807,Action,Adventure,Johane Matte,Andrew L. Schmidt,Johane Matte,A.C. Bradley,Matthew Chauncey,Guillermo del Toro,24,1.0,0.6,21.8,1.1,1.7,1.1,86.2,26,2,4.5,en,0,US,US,Tatiana Maslany, Frank Welker,39.5,34.0,45.1
tt7042146,tvSeries,Carmen Sandiego,Carmen Sandiego,2019,2021,22,7.9,6724,Netflix,7,7042146,74728,135184,2352830,3458999,5463480,2721271,4301401,Action,Adventure,Kevin Dart,Jos Humphrey,Kevin Dart,Duane Capizzi,May Chan,Greg Ernstrom,22,3.3,1.0,3.3,0.6,0.6,0.6,119.7,32,4,1.6,en,0,US,US,Gina Rodriguez, Finn Wolfhard,36.1,31.7,40.5
tt8009622,tvSeries,Twelve Forever,Twelve Forever,2019,2019,0,6.9,770,Netflix,7,8009622,91656,2940487,2914302,6300205,4874829,2914302,8423501,Action,Adventure,Kenneth Wong,Julia Vickerman,Kenneth Wong,Kelsy Abbott,Julia Vickerman,Laura Zak,24,3.2,0.6,1.4,0.6,0.6,0.6,69.1,25,1,1.2,en,0,US,US,Jaylen Barron, Spencer Rothbell,17.8,17.8,17.8
tt10687624,tvSeries,Spirit Riding Free: Pony Tales,Spirit Riding Free: Pony Tales,2017,2019,0,6.9,117,Netflix,7,10687624,92204,3771605,3116787,909233,1442874,1541413,1015020,Animation,Comedy,Josh Taback,Beth Sleven,Josh Taback,Nicole Belisle,Lauren Bradley,Aury Wallington,24,1.0,1.8,0.6,0.6,0.6,0.6,28.1,10,2,0.9,en,0,US,US,Bailey Gambertoglio, Amber Frank,8.0,7.0,9.0
tt9165404,tvSeries,Archibald's Next Big Thing,Archibald's Next Big Thing,2019,2020,24,7.7,317,Netflix,7,9165404,93310,1321144,1938069,2374370,1434081,172128,1979385,Adventure,Animation,Brian Hatfield,Andrew Collins,Brian Hatfield,Drew Champion,Kevin Kramer,Jacob Moffat,24,0.6,0.6,0.6,0.6,0.6,0.6,76.9,52,2,0.6,en,0,US,US,Tony Hale, Rosamund Pike,64.4,30.6,98.1
tt8914012,tvSeries,The Last Kids on Earth,The Last Kids on Earth,2019,2021,0,7.2,1666,Netflix,7,8914012,92684,2956436,614014,2268818,7968966,490640,2097732,Adventure,Animation,Steve Rolston,William Lau,Steve Rolston,Joshua Pruett,Jennifer Muro,Haley Mancini,68,0.7,1.7,1.0,0.6,3.6,0.6,96.4,21,3,1.4,en,0,US,US,Bruce Campbell, Mark Hamill,33.4,24.4,42.4
tt8322592,tvSeries,Fast & Furious Spy Racers,Fast & Furious Spy Racers,2019,2021,23,5.9,1703,Netflix,7,8322592,95594,351821,373388,860155,5587133,2916082,6212400,Action,Adventure,Micah Gunnell,James Yang,Micah Gunnell,Bret Haaland,Tim Hedrick,Gary Scott Thompson,25,2.8,1.5,6.2,1.4,0.6,1.4,315.7,52,6,2.3,en,0,US,US,Tyler Posey, Camille Ramsey,14.3,21.8,6.8
tt10482560,tvSeries,Kipo and the Age of Wonderbeasts,Kipo and the Age of Wonderbeasts,2020,2020,24,8.3,6978,Netflix,7,10482560,95599,3481995,3507885,3976409,948623,3165434,14331,Action,Adventure,Young Ki Yoon,Bridget Underwood,Young Ki Yoon,Christopher Amick,Ben Mekler,Joanna Lewis,24,0.6,0.6,1.4,0.6,0.6,0.6,50.9,30,3,0.7,en,0,US,US,Karen Fukuhara, Sydney Mikayla,13.4,19.6,7.2
tt11942070,tvSeries,Spirit Riding Free: Riding Academy,Spirit Riding Free: Riding Academy,2020,2020,0,6.5,140,Netflix,7,11942070,101400,3771605,3116787,299301,941862,1541413,1015020,Action,Adventure,Kevin Wotton,Beth Sleven,Kevin Wotton,Nicole Belisle,Lauren Bradley,John Fusco,24,1.0,1.8,3.3,1.0,0.6,1.0,52.5,16,2,1.5,en,0,US,US,Roshni Edwards, Duncan Joiner,16.5,5.7,27.4
tt12580610,tvSeries,The Epic Tales of Captain Underpants in Space,The Epic Tales of Captain Underpants in Space,2020,0,24,6.7,145,Netflix,7,12580610,105398,52062,2122762,559733,2813596,3534476,669475,Action,Animation,Seung Woo Cha,Erik Kling,Seung Woo Cha,Mark Banker,Daniel Dominguez,John Matta,20,1.4,0.6,0.6,1.1,0.6,1.1,7.6,6,1,0.9,en,0,,,Nat Faxon, Jay Gragnani,11.2,14.5,7.8
tt7736558,tvMiniSeries,Wizards,Wizards,2020,2020,233,8.0,4518,Netflix,0,7736558,3498,868219,4354811,4372921,2508936,2112570,3028578,Action,Adventure,Francisco Ruiz-Velasco,Andrew L. Schmidt,Francisco Ruiz-Velasco,Guillermo del Toro,Chad Quandt,Lila Scott,23,21.8,0.6,0.6,0.7,1.7,0.7,154.6,106,4,4.3,en,0,US,US,Selena Gomez, David Henrie,30.5,41.4,19.6
tt8787772,tvMiniSeries,Maya and the Three,Maya and the Three,2021,2021,30,8.1,4834,Netflix,7,8787772,132141,136398,1509613,5775160,1509613,1509613,1509613,Action,Adventure,Jorge R. Gutiérrez,Jorge R. Gutiérrez,Jorge R. Gutiérrez,Silvia Cardenas Olivas,Jorge R. Gutiérrez,Candie Langdale,26,0.7,1.7,1.4,1.7,1.7,1.7,121.4,9,1,1.4,en,0,MX,MX,Zoe Saldaña, Jorge R. Gutierrez,42.2,81.6,2.8
tt8923396,tvSeries,Jinn,Jinn,2019,2019,30,3.5,10467,Netflix,16,8923396,214250,2959223,1918802,1472423,5073582,1691239,5073582,Drama,Fantasy,Mir-Jean Bou Chaaya,Amin Matalqa,Mir-Jean Bou Chaaya,Matthew Antonelli,Elan Dassani,Rajeev Dassani,90,1.4,0.6,1.2,1.6,2.4,1.6,22.2,11,1,1.5,ko,0,KR,KR,Lee Seo-jin, Jung Yu-mi,16.7,22.5,11.0
tt10183912,tvMiniSeries,AlRawabi School for Girls,AlRawabi School for Girls,2021,2022,291,7.1,9029,Netflix,16,10183912,88516,7750390,4655089,4665381,4665381,4665381,4665381,Drama,Drama,Tima Shomali,Tima Shomali,Tima Shomali,Islam Alshomali,Shirin Kamal,Tima Shomali,50,0.6,0.6,0.6,0.6,0.6,0.6,16.5,6,2,0.6,ar,0,JO,JO,Andria Tayeh, Rakeen Saad,5.5,3.7,7.2
tt6656238,tvSeries,The Rain,The Rain,2018,2020,45,6.3,40751,Netflix,18,6656238,76719,2488511,692994,2593468,299910,1390830,7396298,Drama,Sci-Fi,Kasper Gaardsøe,Kaspar Munk,Kasper Gaardsøe,Jannik Tai Mosholt,Christian Potalivo,Esben Toft Jacobsen,45,1.7,1.9,1.4,0.6,0.6,0.6,96.3,20,3,1.1,da,0,DK,DK,Alba August, Lucas Lynggaard Tønnesen,13.8,20.0,7.5
