Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,259.279999,358.850006,256.579987,339.500000,339.500000,306616400
2019-02-01,337.179993,371.489990,336.500000,358.100006,358.100006,148192100
2019-03-01,362.260010,379.000000,342.470001,356.559998,356.559998,144843100
2019-04-01,359.000000,384.799988,342.269989,370.540009,370.540009,165079400
2019-05-01,374.000000,385.989990,341.390015,343.279999,343.279999,125298300
2019-06-01,343.559998,375.000000,332.649994,367.320007,367.320007,111052000
2019-07-01,373.500000,384.760010,305.809998,322.989990,322.989990,196652500
2019-08-01,324.250000,328.579987,287.200012,293.750000,293.750000,137076700
2019-09-01,290.820007,301.549988,252.279999,267.619995,267.619995,175411300
2019-10-01,267.350006,308.750000,257.010010,287.410004,287.410004,231556400
2019-11-01,288.700012,316.820007,281.140015,314.660004,314.660004,113645900
2019-12-01,314.390015,338.000000,292.019989,323.570007,323.570007,124723600
2020-01-01,326.100006,359.850006,321.200012,345.089996,345.089996,169874000
2020-02-01,347.239990,392.950012,346.279999,369.029999,369.029999,114056000
2020-03-01,373.109985,393.519989,290.250000,375.500000,375.500000,201979100
2020-04-01,376.049988,449.519989,357.510010,419.850006,419.850006,225111600
2020-05-01,415.100006,458.970001,397.859985,419.730011,419.730011,135055800
2020-06-01,418.829987,474.010010,404.250000,455.040009,455.040009,117279900
2020-07-01,454.000000,575.369995,454.000000,488.880005,488.880005,232206300
2020-08-01,490.859985,549.039978,466.549988,529.559998,529.559998,116261900
2020-09-01,532.599976,557.390015,458.600006,500.029999,500.029999,118796900
2020-10-01,506.029999,572.489990,472.209991,475.739990,475.739990,154302400
2020-11-01,478.869995,518.729980,463.410004,490.700012,490.700012,91788900
2020-12-01,492.339996,545.500000,491.290009,540.729980,540.729980,77564100
2021-01-01,539.000000,593.289978,485.670013,532.390015,532.390015,139988600
2021-02-01,536.789978,566.650024,518.280029,538.849976,538.849976,61902300
2021-03-01,545.570007,556.989990,492.850006,521.659973,521.659973,90183900
2021-04-01,529.929993,563.559998,499.000000,513.469971,513.469971,111573300
2021-05-01,512.650024,518.950012,478.540009,502.809998,502.809998,66927600
2021-06-01,504.010010,536.130005,482.140015,528.210022,528.210022,78560600
2021-07-01,525.719971,557.539978,504.660004,517.570007,517.570007,77221200
2021-08-01,519.000000,569.479980,505.369995,569.190002,569.190002,54747700
2021-09-01,569.000000,619.000000,568.080017,610.340027,610.340027,82317500
2021-10-01,604.239990,690.969971,594.679993,690.309998,690.309998,98576300
2021-11-01,689.059998,700.989990,640.010010,641.900024,641.900024,64530200
2021-12-01,649.479980,654.520020,581.739990,602.440002,602.440002,59975300
2022-01-01,605.609985,609.989990,351.459991,427.140015,427.140015,241662000
2022-02-01,432.959991,458.480011,354.720001,394.519989,394.519989,151010700
2022-03-01,391.600006,396.500000,329.820007,374.589996,374.589996,119491900
2022-04-01,376.799988,396.019989,185.600006,190.360001,190.360001,403325400
2022-05-01,191.710007,204.380005,162.710007,197.440002,197.440002,251615800
2022-06-01,198.699997,207.380005,164.279999,174.869995,174.869995,192552700
2022-07-01,176.490005,230.750000,169.699997,224.899994,224.899994,270083700
2022-08-01,223.100006,251.990005,218.740005,223.559998,223.559998,152258300
2022-09-01,220.720001,250.490005,214.690002,235.440002,235.440002,233920700
2022-10-01,237.850006,305.630005,211.729996,291.880005,291.880005,335263800
2022-11-01,296.170013,312.709991,252.089996,305.529999,305.529999,185683000
2022-12-01,303.989990,332.720001,273.410004,294.880005,294.880005,193080900
2023-01-01,298.059998,369.019989,288.700012,353.859985,353.859985,206417400
2023-02-01,353.859985,379.429993,314.299988,322.130005,322.130005,123374100
2023-03-01,321.549988,345.839996,285.329987,345.480011,345.480011,157555400
2023-04-01,341.829987,349.799988,316.100006,329.929993,329.929993,127984500
2023-05-01,329.440002,405.109985,315.619995,395.230011,395.230011,145471700
2023-06-01,397.410004,448.649994,393.079987,440.489990,440.489990,147230800
2023-07-01,439.760010,485.000000,411.880005,438.970001,438.970001,168720200
2023-08-01,437.369995,445.250000,398.149994,433.679993,433.679993,107298900
2023-09-01,437.730011,453.450012,371.100006,377.600006,377.600006,100278600
2023-10-01,377.480011,418.839996,344.730011,411.690002,411.690002,164021900
2023-11-01,414.769989,482.700012,414.179993,473.970001,473.970001,71741400
2023-12-01,473.170013,500.890015,445.730011,486.880005,486.880005,80411900
2024-01-01,483.190002,503.410004,461.859985,492.190002,492.190002,79086700
