imdb_id,titleType,Title,originalTitle,startYear,endYear,runtimeMinutes,genres,imdb_rating,imdb_no_votes,Streamer,directors,writers,Age,imdb_id2,tmdb_id
tt13317582,tvSeries,The Club,The Club,2021,2023,55,Drama,7.8,11319.0,Netflix,"nm1367069,nm2368338","nm11658959,nm1367069,nm2085861,nm4256932,nm0756326,nm11999415,nm10380516",TV-14,13317582,14177.0
tt13660962,tvSeries,Bling Empire,Bling Empire,2021,2022,38,Reality-TV,5.8,3676.0,Netflix,nm4640988,nm9440006,TV-MA,13660962,116250.0
tt13887518,tvSeries,The Big Day,The Big Day,2021,2021,40,"Reality-TV,Romance",4.7,370.0,Netflix,"nm3473484,nm4455087,nm9263073",nm10881594,TV-MA,13887518,118754.0
tt14136320,tvSeries,Magic for Humans by Mago Pop,Magic for Humans by Mago Pop,2021,2021,0,"Comedy,Reality-TV",6.0,96.0,Netflix,\N,\N,TV-MA,14136320,211177.0
tt14644428,tvSeries,"Fresh, Fried and Crispy","Fresh, Fried and Crispy",2021,2021,0,Reality-TV,6.3,743.0,Netflix,"nm2129535,nm2213883",\N,TV-PG,14644428,221515.0
tt6052432,tvMiniSeries,Takki,Takki,2012,0,0,Drama,6.6,335.0,Netflix,nm5259256,"nm11643249,nm11410404,nm5259256",MA15+,6052432,107485.0
tt9203078,tvSeries,Bumping Mics with Jeff Ross & Dave Attell,Bumping Mics with Jeff Ross & Dave Attell,2018,0,36,Comedy,7.7,1294.0,Netflix,nm1285613,"nm0040995,nm0743501",TV-MA,9203078,84451.0
tt11194518,tvSeries,Zona Rosa,Zona Rosa,2019,0,0,Comedy,6.1,63.0,Netflix,nm10743407,\N,R21,11194518,96642.0
tt20597418,tvSeries,First Class,First Class,2022,2022,45,Reality-TV,2.7,158.0,Netflix,nm1709128,\N,16,20597418,204417.0
tt15341198,tvSeries,The Perfect Mother,The Perfect Mother,2021,2021,192,"Drama,Thriller",5.9,1651.0,Netflix,nm0308592,"nm4273952,nm0633560",TV-MA,15341198,131431.0
tt21195494,tvSeries,Oggy and the Cockroaches: Next Generation,Oggy and the Cockroaches: Next Generation,2022,0,7,"Adventure,Animation,Comedy",6.6,93.0,Netflix,nm6187531,"nm12331780,nm14078307,nm2242612,nm5418060",TV-Y7,21195494,240361.0
tt20871054,tvSeries,Netflix Is a Joke: The Festival,Netflix Is a Joke: The Festival,2022,2022,0,Comedy,5.2,54.0,Netflix,nm1272583,\N,R21,20871054,999324.0
tt15875168,tvSeries,Mo,Mo,2022,0,30,"Comedy,Drama",7.6,8951.0,Netflix,nm4918462,"nm3112453,nm10111083,nm2550871,nm3858973,nm5617402",TV-MA,15875168,216289.0
tt13720112,tvSeries,The Empress,The Empress,2022,0,55,"Drama,History,Romance",7.8,13891.0,Netflix,"nm2137182,nm3299248,nm3464744,nm0264265,nm3273019","nm0264265,nm1016679,nm2456944,nm3841108,nm6155747,nm4133588,nm2207962",TV-MA,13720112,50878.0
tt15847542,tvSeries,Only for Love,Only for Love,2022,2022,60,"Drama,Musical",6.6,139.0,Netflix,"nm0044218,nm2602987,nm2105872","nm6049798,nm2795955,nm0266049,nm5888483,nm5031084",TV-MA,15847542,233194.0
tt15764684,tvSeries,Fakes,Fakes,2022,2022,30,Comedy,6.4,1414.0,Netflix,"nm4567259,nm3023641,nm1743325","nm6188726,nm13062701,nm4856025",TV-MA,15764684,207841.0
tt21964626,tvSeries,Entrapped,Entrapped,2022,0,45,"Crime,Drama,Mystery",7.0,3009.0,Netflix,\N,\N,TV-MA,21964626,222155.0
tt22479892,tvSeries,Waffles + Mochi's Restaurant,Waffles + Mochi's Restaurant,2022,0,20,Family,6.7,70.0,Netflix,"nm1464422,nm1628425,nm1659763,nm2510985,nm10842989,nm3514019","nm1534913,nm5741559,nm14127755,nm1225956,nm4364576,nm0861274",TV-Y,22479892,212438.0
tt22055232,tvSeries,The Cage,The Cage,2022,2022,0,"Comedy,Drama,Romance",6.5,157.0,Netflix,nm11025569,\N,13,22055232,128221.0
tt21107776,tvSeries,Buying Beverly Hills,Buying Beverly Hills,2022,0,40,Reality-TV,5.5,754.0,Netflix,\N,\N,TV-MA,21107776,212060.0
tt19723864,tvSeries,Glitter,Glitter,2022,2022,32,Drama,5.5,620.0,Netflix,"nm3191235,nm2038130,nm1274194,nm0463941,nm2737102","nm11068937,nm10825354,nm5092792,nm14351721,nm8412947,nm14351722",TV-MA,19723864,10872.0
tt22497928,tvSeries,The Exchange,The Exchange,2023,0,50,Drama,6.6,850.0,Netflix,"nm11025569,nm14111470","nm8030044,nm3705403,nm1599548",TV-14,22497928,114059.0
tt26745756,tvSeries,The Law of the Jungle,The Law of the Jungle,2023,2023,0,"Action,Adventure,Reality-TV",6.4,121.0,Netflix,\N,\N,TV-MA,26745756,52910.0
tt27128307,tvSeries,The Signing,The Signing,2023,0,0,"Music,Reality-TV",5.7,43.0,Netflix,\N,\N,M18,27128307,237411.0
tt27250301,tvSeries,Ooku: The Inner Chambers,Ooku: The Inner Chambers,2023,0,30,"Animation,Drama,Fantasy",7.3,831.0,Netflix,nm0008352,"nm14684930,nm14684943,nm2959425",,27250301,216226.0
tt26315488,tvSeries,Celebrity,Celebrity,2023,0,60,"Drama,Mystery,Thriller",7.4,4649.0,Netflix,nm1957161,nm2083054,TV-MA,26315488,225148.0
tt27921622,tvSeries,Is She the Wolf?,Is She the Wolf?,2023,2023,30,"Reality-TV,Romance",6.4,150.0,Netflix,\N,\N,TV-PG,27921622,234053.0
tt19723614,tvSeries,Feedback,Feedback,2023,2023,55,"Crime,Drama",7.1,849.0,Netflix,nm1291828,"nm6222970,nm8609952",TV-MA,19723614,137978.0
tt4196686,tvSeries,The Kicks,The Kicks,2015,2016,27,"Comedy,Family,Sport",6.8,780.0,Prime,"nm0638271,nm1487468,nm2118553,nm0020491","nm1362049,nm0825738,nm3019150,nm2903805,nm0649699,nm0044828,nm0225071,nm4906598",TV-G,4196686,68296.0
tt5200330,tvSeries,Dino Dana,Dino Dana,2017,2020,22,"Adventure,Comedy,Family",7.4,559.0,Prime,"nm1664945,nm0768737,nm1743325,nm1089963,nm3506441,nm2240418,nm0721959,nm1275939,nm0002836,nm1284464,nm0345286,nm4207591,nm2847100,nm0009132,nm1278381,nm0212568,nm2605483,nm2174984,nm2885680,nm3907840,nm1361826","nm1664945,nm2576718,nm8303122,nm4943908,nm8187311,nm6636855,nm1621567,nm3619768,nm3876936,nm1920946,nm1206061,nm6959013,nm5749927,nm9076285,nm9537429,nm3149964,nm2778379,nm1423542,nm2272196,nm9034960,nm3715303,nm5022262,nm1682741,nm2044621,nm2954947,nm2069956,nm4665361,nm2047890,nm4740113,nm3083154,nm5439274",TV-Y,5200330,71655.0
tt7076630,tvMiniSeries,Vanity Fair,Vanity Fair,2018,2018,60,Drama,7.3,5564.0,Prime,"nm1326093,nm3536642","nm0400634,nm0856842",TV-14,7076630,109857.0
tt8773420,tvSeries,Expats,Expats,2023,0,96,Drama,7.5,62.0,Prime,nm2304675,"nm5612209,nm1912767,nm10015431,nm2304675,nm3399858,nm2977599",,8773420,95556.0
tt0115203,tvSeries,The High Life,The High Life,1996,0,0,Comedy,6.3,22.0,HBO(Max),"nm0715636,nm0490792,nm0764319","nm0720304,nm1014365,nm1015106,nm0129325",,115203,25076.0
tt0115396,tvSeries,Tracey Takes On...,Tracey Takes On...,1996,1999,30,Comedy,7.3,650.0,HBO(Max),"nm0001808,nm0769135,nm0772095,nm0330140,nm0390844,nm0571106,nm0004627,nm0193508,nm0669797","nm0001808,nm0069547,nm0166074,nm0478588,nm0661275,nm0463176,nm0571647,nm0628214,nm0564254,nm0957139,nm0458228,nm0298279,nm0790635",,115396,2698.0
tt1666727,tvSeries,The Neistat Brothers,The Neistat Brothers,2010,0,0,Biography,8.2,507.0,HBO(Max),"nm2931325,nm2931326","nm2931325,nm2931326",,1666727,70888.0
tt2165141,tvSeries,The Boring Life of Jacqueline,The Boring Life of Jacqueline,2012,0,0,Comedy,7.9,76.0,HBO(Max),nm2928364,nm2928364,,2165141,56760.0
