Date,Open,High,Low,Close,Adj Close,Volume
2023-02-01,102.529999,114.000000,92.320000,94.230003,94.230003,1364102000
2023-03-01,93.870003,103.489998,88.120003,103.290001,103.290001,1349240300
2023-04-01,102.300003,110.860001,97.709999,105.449997,105.449997,1224083600
2023-05-01,104.949997,122.919998,101.150002,120.580002,120.580002,1432891600
2023-06-01,120.690002,131.490005,119.930000,130.360001,130.360001,1242648800
2023-07-01,130.820007,136.649994,125.919998,133.679993,133.679993,1058754800
2023-08-01,133.550003,143.630005,126.410004,138.009995,138.009995,1210426200
2023-09-01,139.460007,145.860001,123.040001,127.120003,127.120003,1120271900
2023-10-01,127.279999,134.479996,118.349998,133.089996,133.089996,1224564700
2023-11-01,133.960007,149.259995,133.710007,146.089996,146.089996,1025986900
2023-12-01,146.000000,155.630005,142.809998,151.940002,151.940002,931128600
