imdb_id,titleType,Title,originalTitle,startYear,endYear,runtimeMinutes,imdb_rating,imdb_no_votes,Streamer,Age,imdb_id2,tmdb_id,writer_1,writer_2,writer_3,director_1,director_2,director_3,genre_1,genre_2,director_1_name,director_2_name,director_3_name,writer_1_name,writer_2_name,writer_3_name,ep_run_times,writer_1_pop,writer_2_pop,writer_3_pop,director_1_pop,director_2_pop,director_3_pop,tmdb_popularity,no_of_ep,no_of_seasons,team_popularity,origin_language,origin_country,actors,creator/actor?
tt5023972,tvSeries,Lost & Found Music Studios,Lost & Found Music Studios,2015,2016,30,6.6,683,Netflix,0,5023972,66260,887279,5164383,132441,21548,716813,887279,Family,Music,James Allodi,Samir Rehem,James Allodi,Frank van Keeken,Amy Cole,Emma Campbell,23,0.861,0.6,4.701,1.91,1.587,1.91,22.014,27,2,1.9281666666666664,en,['CA'],"('Maranda Thomas', 'Levi Randall')",0
tt5520732,tvSeries,Good Morning Call,Good Morning Call,2016,2017,48,7.5,3543,Netflix,14,5520732,65693,8407972,8201561,8407972,5629421,5629421,5629421,Comedy,Romance,Yô Kawahara,Yô Kawahara,Yô Kawahara,Yue Takasuka,Yumie Takasuka,Yue Takasuka,48,0.6,0.6,0.6,0.6,0.6,0.6,92.662,27,2,0.6,ja,['JP'],"('Haruka Fukuhara', 'Shunya Shiraishi')",0
tt5301958,tvMiniSeries,Hibana,Hibana,2016,2016,60,7.8,1100,Netflix,18,5301958,66660,13626585,2061163,8193006,386382,3629099,3490112,Drama,Drama,Ryûichi Hiroki,Kazuya Shiraishi,Ryûichi Hiroki,Masato Katô,Naoki Matayoshi,Tomonori Otsuka,60,2.776,1.318,2.776,3.014,1.976,3.014,42.563,10,1,2.479,ja,['JP'],"('Kento Hayashi', 'Kazuki Namioka')",0
tt4179452,tvSeries,The Last Kingdom,The Last Kingdom,2015,2022,60,8.5,161442,Netflix,18,4179452,63333,4618645,124661,180486,1113890,63279,387486,Action,Drama,Jon East,Edward Bazalgette,Jon East,Lydia Adetunji,Stephen Butchard,Bernard Cornwell,60,0.6,1.448,1.838,0.6,1.4,0.6,225.049,46,5,1.081,en,['GB'],"('Alexander Dreymon', 'Emily Cox')",0
tt6015820,tvSeries,Bottersnikes & Gumbles,Bottersnikes & Gumbles,2015,0,11,5.4,52,Netflix,7,6015820,67329,2155991,7267104,8616785,916867,1637637,916867,Adventure,Animation,David Webster,David W. Collins,David Webster,Tim Bain,Matt Baker,Matthew Baker,12,0.98,3.614,0.6,0.6,1.016,0.6,42.972,52,2,1.235,en,"['AU', 'GB', 'US']","('Robbie Daymond', 'Tara Sands')",0
tt6150576,tvMiniSeries,Midnight Diner: Tokyo Stories,Midnight Diner: Tokyo Stories,2016,2019,24,8.4,4781,Netflix,16,6150576,92408,4675659,6705606,541239,559629,633729,559629,Drama,Drama,Joji Matsuoka,Nobuhiro Yamashita,Joji Matsuoka,Yarô Abe,Kensaku Kojima,Katsuhiko Manabe,24,0.654,0.654,3.237,2.677,2.596,2.677,22.434,20,2,2.0825,ja,['JP'],Kaoru Kobayashi,0
tt5839454,tvMiniSeries,Paranoid,Paranoid,2016,2016,45,6.6,9787,Netflix,16,5839454,67960,302339,302339,302339,867127,244778,322533,Crime,Drama,Mark Tonderai,John Duthie,Mark Tonderai,Bill Gallagher,Bill Gallagher,Bill Gallagher,45,1.186,1.186,1.186,4.508,1.4,4.508,55.688,8,1,2.329,en,['GB'],"('Indira Varma', 'Robert Glenister')",0
tt4047038,tvSeries,Dirk Gently's Holistic Detective Agency,Dirk Gently's Holistic Detective Agency,2016,2017,60,8.2,56325,Netflix,14,4047038,67773,10930,484840,2584005,417794,2161247,205542,Action,Adventure,Michael Patrick Jann,Paco Cabezas,Michael Patrick Jann,Douglas Adams,Max Landis,Sinead Daly,42,2.836,1.96,2.388,1.553,2.485,1.553,195.842,18,2,2.129166666666667,en,"['GB', 'US']","('Samuel Barnett', 'Elijah Wood')",0
tt4686698,tvSeries,Frontier,Frontier,2016,2018,60,7.1,23610,Netflix,18,4686698,64555,1265275,4274105,1272433,1274170,679031,779830,Adventure,Drama,John Vatcher,Brad Peyton,John Vatcher,Rob Blackie,Peter Blackie,Kerri MacDonald,45,1.193,0.988,0.6,1.4,1.891,1.4,87.019,18,3,1.2453333333333332,en,['CA'],"('Jason Momoa', 'Landon Liboiron')",0
tt6304676,tvMiniSeries,Samurai Gourmet,Samurai Gourmet,2017,2017,20,8.1,2314,Netflix,13,6304676,70781,1821575,5004163,2651240,5706837,1064077,5706837,Adventure,Comedy,Michihito Fujii,Mamoru Hoshi,Michihito Fujii,Masayuki Kusumi,Yoshihiro Taguchi,Kiyohito Wada,22,1.4,0.6,0.6,4.673,2.641,4.673,41.642,12,1,2.4311666666666665,ja,['JP'],"('Honami Suzuki', 'Tetsuji Tamayama')",0
