imdb_id,tmdb_id,Title,titleType,startYear,endYear,Streamer,Age,genre_1,genre_2,creator/actor?,origin_language,director_1_name,director_2_name,originalTitle,writer_1_imdb#,writer_2_imdb#,writer_3_imdb#,director_1_imdb#,director_2_imdb#,director_3_imdb#,director_3_name,writer_1_name,writer_2_name,writer_3_name,ep_run_times,writer_1_pop,writer_2_pop,writer_3_pop,director_1_pop,director_2_pop,director_3_pop,tmdb_popularity,no_of_ep,no_of_seasons,first_country,second_country,actor_1_pop,actor_2_pop,actor_1_name,actor_2_name,cast_pop,team_popularity,imdb_rating,imdb_no_votes,total_popularity
3432810,44586,The Neighbors,tvSeries,2014,2016,Hulu,7,Comedy,Comedy,0,en,Tommy Wiseau,Tommy Wiseau,The Neighbors,1382072,1382072,1382072,1382072,1382072,1382072,Tommy Wiseau,Tommy Wiseau,Tommy Wiseau,Tommy Wiseau,22,3.7,3.7,3.7,3.7,3.7,3.7,148.8,44,2,US,US,22.6,12.2,Jami Gertz, Lenny Venito,17.4,3.7,2.7,557,2.54
4577466,64043,Casual,tvSeries,2015,2018,Hulu,18,Comedy,Drama,0,en,Carrie Brownstein,Gillian Robespierre,Casual,7629886,5393607,5547317,1247855,3521871,5514695,Carrie Brownstein,Zander Lehmann,Harris Danow,Rosa Handelman,30,1.0,0.6,1.2,2.9,2.1,2.9,128.8,44,4,US,US,13.4,9.4,Michaela Watkins, Tommy Dewey,11.4,1.8,7.5,9330,4.53
4975856,73157,Future Man,tvSeries,2017,2020,Hulu,18,Action,Adventure,0,en,Jonathan Watson,Michael Weaver,Future Man,3773434,1882744,3782043,909946,915920,1698571,Jonathan Watson,Kyle Hunter,Howard Overman,Ariel Shaffir,30,0.6,1.4,2.6,0.6,5.6,0.6,228.1,34,3,US,US,89.7,22.9,Josh Hutcherson, Eliza Coupe,56.3,1.9,7.7,28075,4.84
7292950,39354,All Night,tvSeries,2018,2018,Hulu,14,Comedy,Comedy,0,en,Brian Dannelly,Nancy Hower,All Night,3269881,4351487,281592,200380,398107,1451294,Brian Dannelly,Jason Ubaldi,Mackenzie Yeager,R. Lee Fleming Jr.,22,0.6,0.6,4.4,1.2,1.5,1.2,135.1,35,2,US,US,45.6,56.3,Christina Applegate, Will Arnett,50.9,1.6,6.0,656,3.65
8324422,85702,PEN15,tvSeries,2019,2021,Hulu,18,Comedy,Comedy,1,en,Sam Zvibleman,Andrew DeYoung,PEN15,4224109,5193396,1587825,1587825,2440581,2777326,Sam Zvibleman,Maya Erskine,Anna Konkle,Sam Zvibleman,30,13.7,6.5,0.6,0.6,1.4,0.6,269.9,25,2,US,US,25.5,17.9,Maya Erskine, Anna Konkle,21.7,3.9,8.1,13514,4.89
8962130,85046,Shrill,tvSeries,2019,2021,Hulu,18,Comedy,Drama,1,en,Andrew DeYoung,Shaka King,Shrill,5262775,1494121,4873492,2440581,3489851,1247855,Andrew DeYoung,Aidy Bryant,Alexandra Rushfield,Lindy West,25,5.9,1.1,0.6,1.4,1.8,1.4,104.6,22,3,US,US,13.9,6.6,Aidy Bryant, Lolly Adefope,10.2,2.0,7.4,9202,4.46
7649694,87382,Ramy,tvSeries,2019,0,Hulu,18,Comedy,Drama,0,en,Ramy Youssef,Cherien Dabis,Ramy,6144403,9429903,3858973,3858973,1435062,3846239,Ramy Youssef,Ari Katcher,Ryan Welch,Ramy Youssef,30,0.6,0.6,3.7,3.7,2.3,3.7,49.6,30,3,US,US,13.8,11.4,Ramy Youssef, May Calamawy,12.6,2.4,8.0,16129,4.63
7587362,84282,Four Weddings and a Funeral,tvMiniSeries,2019,2019,Hulu,18,Comedy,Romance,0,en,Catherine Morshead,Tristram Shapeero,Four Weddings and a Funeral,9946590,4007858,1411676,607701,788426,2503466,Catherine Morshead,Bisha K. Ali,Meredith Dawson,Mindy Kaling,50,1.8,0.6,5.1,2.6,1.5,2.6,42.8,10,1,US,US,51.7,14.7,Nathalie Emmanuel, Nikesh Patel,33.2,2.4,7.2,6211,4.21
7661046,84584,Dollface,tvSeries,2019,2022,Hulu,18,Comedy,Comedy,0,en,Alethea Jones,Stephanie Laing,Dollface,4343561,4589134,2590660,2370148,174483,1056186,Alethea Jones,Jordan Weiss,Hallie Cantor,Grace Edwards,30,1.1,0.6,0.9,0.6,0.7,0.6,87.0,20,2,US,US,42.0,15.6,Kat Dennings, Brenda Song,28.8,0.8,7.4,10880,4.46
8577458,96734,High Fidelity,tvSeries,2020,2020,Hulu,18,Comedy,Drama,0,en,Natasha Lyonne,Jeffrey Reiner,High Fidelity,3445626,394984,8531569,5169,718001,2440581,Natasha Lyonne,Solomon Georgio,Nick Hornby,Josh Koenigsberg,26,0.7,2.6,1.0,17.9,2.5,17.9,163.8,10,1,US,US,82.9,14.0,Zoë Kravitz, David H. Holmes,48.4,7.1,7.7,15487,4.7
