,imdb_id,titleType,Title,originalTitle,startYear,endYear,runtimeMinutes,imdb_rating,imdb_no_votes,Streamer,Age,imdb_id2,tmdb_id,creators,writer_1,writer_2,writer_3,director_1,director_2,director_3,genre_1,genre_2,director_1_name,director_2_name,director_3_name,writer_1_name,writer_2_name,writer_3_name
1363,tt0141842,tvSeries,The Sopranos,The Sopranos,1999,2007,55,9.2,452111.0,HBO(Max),18,141842,1398,David Chase,0153740,1010540.0,121331.0,0887700,666274.0,2339.0,Crime,Drama,Timothy Van Patten,John Patterson,Timothy Van Patten,David Chase,Terence Winter,Mitchell Burgess
1364,tt0248654,tvSeries,Six Feet Under,Six Feet Under,2001,2005,60,8.7,145690.0,HBO(Max),18,248654,1274,Alan Ball,0050332,1362905.0,1280672.0,0050332,3733.0,6554.0,Comedy,Drama,Alan Ball,Daniel Attias,Alan Ball,Alan Ball,Craig Wright,Nancy Oliver
1365,tt0306414,tvSeries,The Wire,The Wire,2002,2008,59,9.3,368086.0,HBO(Max),18,306414,1438,David Simon,0800108,122654.0,527160.0,0152640,225416.0,424800.0,Crime,Drama,Joe Chappelle,Ernest R. Dickerson,Joe Chappelle,David Simon,Ed Burns,Joy Kecken
1366,tt0319969,tvSeries,Carnivàle,Carnivàle,2003,2005,55,8.4,46479.0,HBO(Max),18,319969,185,Daniel Knauf,0460567,696518.0,773251.0,0276062,6554.0,533744.0,Drama,Fantasy,Todd Field,Rodrigo García,Todd Field,Daniel Knauf,Dawn Prestwich,William Schmidt
1367,tt0348914,tvSeries,Deadwood,Deadwood,2004,2006,55,8.6,115491.0,HBO(Max),18,348914,1406,David Milch,0586965,765438.0,1802517.0,0851930,21899.0,6853.0,Crime,Drama,Alan Taylor,Michael Almereyda,Alan Taylor,David Milch,Elizabeth Sarnoff,Regina Corrado
1368,tt0384766,tvSeries,Rome,Rome,2005,2007,1193,8.7,182316.0,HBO(Max),18,384766,1891,"('John Milius', 'William J. MacDonald', 'Bruno Heller')",0375285,531973.0,587518.0,0887700,851930.0,4121.0,Action,Drama,Timothy Van Patten,Alan Taylor,Timothy Van Patten,Bruno Heller,William J. MacDonald,John Milius
1369,tt0421030,tvSeries,Big Love,Big Love,2006,2011,60,7.7,22972.0,HBO(Max),18,421030,4392,"('Mark V. Olsen', 'Will Scheffer')",0647739,770504.0,85257.0,0003733,7008.0,203215.0,Drama,Drama,Daniel Attias,David Petrarca,Daniel Attias,Mark V. Olsen,Will Scheffer,Dustin Lance Black
1370,tt0840094,tvSeries,Five Days,Five Days,2007,2010,300,6.6,3279.0,HBO(Max),18,840094,4170,,0400634,,,1163264,1595284.0,387486.0,Crime,Drama,Otto Bathurst,Toby Haynes,Otto Bathurst,Gwyneth Hughes,,
1371,tt0814164,tvSeries,John from Cincinnati,John from Cincinnati,2007,2007,55,7.0,5002.0,HBO(Max),16,814164,1086,"('David Milch', 'Kem Nunn')",0586965,2349355.0,796966.0,0863990,80601.0,1061992.0,Drama,Fantasy,Mark Tinker,Ed Bianchi,Mark Tinker,David Milch,Kem Nunn,Laura Siegel
1372,tt0809497,tvSeries,Tell Me You Love Me,Tell Me You Love Me,2007,2007,60,7.3,4211.0,HBO(Max),16,809497,206689,Kim Yoon-jin,0607725,258425.0,1243435.0,0563039,5390.0,225416.0,Drama,Romance,Melanie Mayron,Patricia Rozema,Melanie Mayron,Cynthia Mort,Anya Epstein,David Schulner
